startTimeLocal,activityType,distance,duration,averageSpeed,averageHR,calories
2025-07-05 13:52:35,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5002.47021484375,1465.196044921875,3.4140000343322754,141.0,348.0
2025-07-05 12:59:12,"{'typeId': 2, 'typeKey': 'cycling', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",20660.0703125,2784.626953125,7.419000148773193,123.0,516.0
2025-07-03 17:28:21,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6348.4599609375,2285.051025390625,2.778000116348266,129.0,421.0
2025-07-01 17:31:28,"{'typeId': 2, 'typeKey': 'cycling', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",26045.099609375,3473.39306640625,7.498000144958496,119.0,579.0
2025-06-28 11:15:33,"{'typeId': 2, 'typeKey': 'cycling', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",37530.62109375,5889.9619140625,6.372000217437744,99.0,580.0
2025-06-27 19:50:50,"{'typeId': 139, 'typeKey': 'rock_climbing', 'parentTypeId': 4, 'isHidden': False, 'restricted': False, 'trimmable': False}",,3920.06298828125,,,
2025-06-27 07:33:16,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,860.4550170898438,,,
2025-06-26 17:30:18,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5427.22021484375,1727.93896484375,3.1410000324249268,135.0,375.0
2025-06-25 17:28:55,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5133.02001953125,1866.1800537109375,2.750999927520752,124.0,330.0
2025-06-25 07:08:51,"{'typeId': 27, 'typeKey': 'lap_swimming', 'parentTypeId': 26, 'isHidden': False, 'restricted': False, 'trimmable': False}",1000.0,1518.8590087890625,0.6579999923706055,,280.0
2025-06-24 17:49:09,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5000.14990234375,1640.2860107421875,3.0480000972747803,127.0,321.0
2025-06-21 09:08:51,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,270.0299987792969,,,
2025-06-21 08:58:25,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,595.0430297851562,,,
2025-06-21 08:28:39,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",4867.2001953125,2242.47607421875,2.1700000762939453,100.0,315.0
2025-06-20 09:04:49,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6101.2998046875,2018.1209716796875,3.0230000019073486,128.0,391.0
